"id","vehicle_id","trip_id","timestamp","latitude","longitude","bearing","origin","destination","route_name","direction","operator"
24005103,"4716","1107","2026-01-26 17:19:54",53.409933,-2.970073,86,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24005498,"4716","1107","2026-01-26 17:20:10",53.410035,-2.969665,73,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24005893,"4716","1107","2026-01-26 17:20:17",53.410143,-2.969131,74,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24007079,"4716","1107","2026-01-26 17:20:50",53.41037,-2.96862,46,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24008265,"4716","1107","2026-01-26 17:21:23",53.410378,-2.968591,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24009838,"4716","1107","2026-01-26 17:21:56",53.410696,-2.967923,357,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24011020,"4716","1107","2026-01-26 17:22:29",53.411006,-2.968258,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24012207,"4716","1107","2026-01-26 17:23:02",53.411006,-2.968258,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24012999,"4716","1107","2026-01-26 17:23:22",53.411871,-2.96781,37,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24013792,"4716","1107","2026-01-26 17:23:32",53.412328,-2.966591,52,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24014985,"4716","1107","2026-01-26 17:24:07",53.414218,-2.962583,21,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24016181,"4716","1107","2026-01-26 17:24:38",53.41484,-2.963033,303,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24017384,"4716","1107","2026-01-26 17:25:09",53.41484,-2.963033,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24017788,"4716","1107","2026-01-26 17:25:17",53.415,-2.963316,315,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24018190,"4716","1107","2026-01-26 17:25:23",53.415208,-2.96359,321,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24018995,"4716","1107","2026-01-26 17:25:46",53.416456,-2.96517,322,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24020209,"4716","1107","2026-01-26 17:26:19",53.417291,-2.96622,318,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24020616,"4716","1107","2026-01-26 17:26:33",53.418366,-2.967321,347,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24021437,"4716","1107","2026-01-26 17:26:55",53.418738,-2.967473,345,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24022252,"4716","1107","2026-01-26 17:27:11",53.4192,-2.967641,344,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24023473,"4716","1107","2026-01-26 17:27:43",53.420521,-2.964613,33,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24023881,"4716","1107","2026-01-26 17:27:52",53.421238,-2.963815,39,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24025510,"4716","1107","2026-01-26 17:28:24",53.422148,-2.961061,69,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24026730,"4716","1107","2026-01-26 17:28:57",53.422156,-2.961055,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24027543,"4716","1107","2026-01-26 17:29:16",53.422378,-2.960169,54,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24028761,"4716","1107","2026-01-26 17:29:48",53.42258,-2.959865,60,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24029969,"4716","1107","2026-01-26 17:30:21",53.422813,-2.959356,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24030371,"4716","1107","2026-01-26 17:30:26",53.422943,-2.959031,54,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24030775,"4716","1107","2026-01-26 17:30:35",53.423215,-2.958485,50,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24031981,"4716","1107","2026-01-26 17:31:06",53.423508,-2.957725,61,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24032782,"4716","1107","2026-01-26 17:31:22",53.424226,-2.955833,51,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24033986,"4716","1107","2026-01-26 17:31:55",53.424556,-2.954906,56,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24034787,"4716","1107","2026-01-26 17:32:21",53.424628,-2.954625,53,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24035188,"4716","1107","2026-01-26 17:32:30",53.424968,-2.953968,47,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24035590,"4716","1107","2026-01-26 17:32:44",53.425728,-2.9528,38,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24037197,"4716","1107","2026-01-26 17:33:26",53.42643,-2.951808,36,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24037601,"4716","1107","2026-01-26 17:33:31",53.426621,-2.951603,32,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24039203,"4716","1107","2026-01-26 17:34:04",53.426745,-2.95138,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
